a2,c4,c6,c7,c8,c9,c10,c11,c13,c152,c162,c172,c30a,d30a,d30b,d2
"Northern Central region, the Central Coast, Central Highlands",,No,,,,No,,,No,,,0,0,0,19549884000
Southeast,,No,,,,No,,,No,,,0,0,0,733000000
Southeast,,No,,,,No,,,No,,,4,3,3,931178756000
Southeast,,No,,,,Yes,10,,No,,,2,1,1,10726338000
Red River Delta,,Yes,0,,,Yes,5,,No,,,4,2,0,50000000000
Red River Delta,15,Yes,1,480,,No,,,No,,,4,2,2,110487368000
Southeast,,Yes,,,,No,,,No,,,2,0,0,5154000000
Southeast,,No,,,,No,,,No,,,0,0,0,716538000
Red River Delta,,Yes,2,301,,No,,,No,,,3,2,2,64839062000
Southeast,,No,,,,No,,,No,,,0,0,0,411087462000
Southeast,,Yes,,,1,Yes,1,7,Yes,2,1,3,2,1,7865762000000
Southeast,,Yes,3,300,,No,,,No,,,3,2,,22819000000
Southeast,,Yes,1,50,,Yes,15,,No,,,0,0,0,72485432000
Southeast,,Yes,1,510,,No,,,No,,,0,0,0,12832079000
Southeast,,Yes,1,5,,Yes,2,,No,,,0,0,0,11820723000
Southeast,,No,,,,No,,,No,,,0,0,0,166322566000
Southeast,,Yes,,,,Yes,1,,No,,,2,2,1,71577723000
Red River Delta,,No,,,,No,,,No,,,0,1,,60000000000
Southeast,,No,,,,No,,1,No,,,0,0,0,1850000000
Mekong River Delta,,No,,,,No,,,No,,,3,3,3,119633000000
Red River Delta,,No,,,,Yes,30,,No,,,0,0,0,10000000000
Southeast,,No,,,,Yes,1,,No,,,3,1,1,231499245000
Southeast,,Yes,3,10,,Yes,3,,No,,,0,0,0,1327686802000
Southeast,,Yes,1,90,,Yes,20,,No,,,0,0,0,27863957000
Red River Delta,,Yes,2,240,,Yes,90,,No,,,1,1,1,284384000000
Red River Delta,,Yes,2,180,,No,,3,Yes,2,4,4,1,0,6084413000
Southeast,,Yes,1,90,1,No,,,No,,,2,0,0,8802567000
"Northern Central region, the Central Coast, Central Highlands",,Yes,2,,5,No,,,No,,,2,2,2,15000000000
Southeast,,No,,,,No,,,No,,,0,0,0,62008249000
Mekong River Delta,,No,,,,No,,,No,,,2,2,1,35915528000
Southeast,,Yes,2,1,,Yes,3,,No,,,0,0,0,113453279000
Southeast,,Yes,1,60,,Yes,80,,No,,,3,3,3,679272000000
Southeast,,Yes,1,5,,Yes,1,,No,,,0,1,0,1103000000
Southeast,,Yes,1,5,,Yes,1,,No,,,0,2,0,317935944000
Southeast,,No,,,,No,,,No,,,3,1,2,1025630000
